"xwalk_uc","MUNI.USE_CODE","MUNI.USE_DESC","muni_name","STD.USE_CODE","STD.USE_DESC","od_uc"
"111","1111","Other","Chelsea","111","Apartments with Four to Eight Units","1"
"101","1012","OCN FT","Chatham","101","Single Family Residential","1"
"101","1014","IMPUTED - Single Family Residential","Chatham","101","Single Family Residential","1"
"101","101V","SINGLE FAM  MDL-00","Chatham","101","Single Family Residential","1"
"102","1021","CONDO NL  MDL-05","Chatham","102","Residential Condominium","1"
"102","102V","CONDO NL  MDL-00","Chatham","102","Residential Condominium","1"
"104","104M","TWO FAMILY  MDL-03","Chatham","104","Two-Family Residential","1"
"106","106V","AC LND IMP MDL-00","Chatham","106","Accessory Land with Improvement","1"
"109","109M","MULTI HSES  MDL-03","Chatham","109","Multiple Houses on one parcel","1"
"111","1111","APT 8+UP  MDL-03","Chatham","111","Apartments with Four to Eight Units","1"
"111","111R","APT 4-7UNT  MDL-01","Chatham","111","Apartments with Four to Eight Units","1"
"111","111C","APT 4-8 UNIT M9","Swansea","111","Apartments with Four to Eight Units","1"
"112","112C","APT OVER 8 M94
","Swansea","112","Apartments with More than Eight Units","1"
"140","140C","CHILD CARE M94","Swansea","140","Child Care Facility","1"
"101","1013","SFR WATER  MDL-01","Concord","101","Single Family Residential","1"
"102","1021","Condo NL  MDL-05","Concord","102","Residential Condominium","1"
"102","1027","COMMON LN","Concord","102","Residential Condominium","1"
"130","1301","RES ACLNPO","Concord","130","Developable Residential Land","1"
"131","1313","RES PO RVR","Concord","131","Potentially Developable Residential Land","1"
"132","1322","RES UD WET","Concord","132","Undevelopable Residential Land","1"
"132","1325","RES CR","Concord","132","Undevelopable Residential Land","1"
"132","1327","RES COMMON","Concord","132","Undevelopable Residential Land","1"
"102","102U","AFFORDABLE  MDL-05","Concord","102","Residential Condominium","1"
"111","111C","APT 4-UNT  MDL-94
APT 4-UNT  MDL-94
APT 4-UNT  MDL-94","Concord","111","Apartments with Four to Eight Units","1"
"125","125C","OTHR LIV F  MDL-94","Concord","125","Other Congregate Housing (includes non-transient shared living arrangements)","1"
"130","130V","RES ACLNDV  MDL-00","Concord","130","Developable Residential Land","1"
"101","1011","Municipal - unknown","Concord","101","Single Family Residential","1"
"101","101V","Residential - Vacant","Concord","101","Single Family Residential","1"
"101","1012","Single Family Waterfront","Marion","101","Single Family Residential","1"
"101","1013","Single Family Riverfront","Marion","101","Single Family Residential","1"
"101","1014","SFR GOLF","Marion","101","Single Family Residential","1"
"101","1015","SFR/IN LAW","Marion","101","Single Family Residential","1"
"102","1021","Residential Condo","Marion","102","Residential Condominium","1"
"102","1022","Dockominiu","Marion","102","Residential Condominium","1"
"102","102R","Condo NL  MDL-0","Marion","102","Residential Condominium","1"
"103","1031","Trailer","Marion","103","Mobile Home (includes mobile home park land)","1"
"104","1041","TWO FAM","Marion","104","Two-Family Residential","1"
"105","1051","THREE FAM","Marion","105","Three-Family Residential","1"
"106","106R","AC LND IMP  MDL","Marion","106","Accessory Land with Improvement","1"
"109","1091","MULTI HSES","Marion","109","Multiple Houses on one parcel","1"
"111","1111","APT 8+UP","Marion","111","Apartments with Four to Eight Units","1"
"111","1112","APT CO-OP","Marion","111","Apartments with Four to Eight Units","1"
"111","111C","APT 4-8 M94","Marion","111","Apartments with Four to Eight Units","1"
"102","1021","Condo NL  MDL-05","Chelsea","102","Residential Condominium","1"
"102","102V","Condo NL  MDL-00","Chelsea","102","Residential Condominium","1"
"111","111C","APT 4-UNT  MDL-94","Chelsea","111","Apartments with Four to Eight Units","1"
"112","112C","APT OVER 8  MDL-94","Chelsea","112","Apartments with More than Eight Units","1"
"103","103V","MOBILE HOME","Orange","103","Mobile Home (includes mobile home park land)","1"
"111","1111","APT 4+UP  MDL-01","Orange","111","Apartments with Four to Eight Units","1"
"101","101V","Single Family MDL-00","Groton","101","Single Family Residential","1"
"101","1013","IMPUTED - Single Family Residential","Groton","101","Single Family Residential","1"
"102","102V","IMPUTED - Residential Condominium","Groton","102","Residential Condominium","1"
"101","1013","SFR WATER MDL-01
","Palmer","101","Single Family Residential","1"
"102","1021","CONDO NL MDL-05","Palmer","102","Residential Condominium","1"
"103","103R","MOBILE HOM MDL-01","Palmer","103","Mobile Home (includes mobile home park land)","1"
"106","106C","AC LND IMP MDL-94
","Palmer","106","Accessory Land with Improvement","1"
"106","106V","AC LND IMP MDL-00","Palmer","106","Accessory Land with Improvement","1"
"111","1112","APT CO-OP","Palmer","111","Apartments with Four to Eight Units","1"
"104","1041","TWO FAMILY","Palmer","104","Two-Family Residential","1"
"104","104R","TWO FAMILY MDL-01","Palmer","104","Two-Family Residential","1"
"102","102C","IMPUTED - Residential Condominium","Palmer","102","Residential Condominium","1"
"102","102V","IMPUTED - Residential Condominium","Palmer","102","Residential Condominium","1"
"103","103V","IMPUTED - Mobile Home (includes mobile home park land)","Palmer","103","Mobile Home (includes mobile home park land)","1"
"104","104I","IMPUTED - Two-Family Residential","Palmer","104","Two-Family Residential","1"
"109","1091","IMPUTED - Multiple Houses on one parcel","Palmer","109","Multiple Houses on one parcel","1"
"109","109C","IMPUTED - Multiple Houses on one parcel","Palmer","109","Multiple Houses on one parcel","1"
"111","111C","IMPUTED - Apartments with Four to Eight Units","Palmer","111","Apartments with Four to Eight Units","1"
"111","111R","IMPUTED - Apartments with Four to Eight Units","Palmer","111","Apartments with Four to Eight Units","1"
"112","112C","IMPUTED - Apartments with More than Eight Units","Palmer","112","Apartments with More than Eight Units","1"
"101","101 ","IMPUTED - Single Family Residential","Danvers","101","Single Family Residential","1"
"102","102 ","IMPUTED - Residential Condominium","Danvers","102","Residential Condominium","1"
"103","103 ","IMPUTED - Mobile Home (includes mobile home park land)","Danvers","103","Mobile Home (includes mobile home park land)","1"
"104","104 ","IMPUTED - Two-Family Residential","Danvers","104","Two-Family Residential","1"
"105","105 ","IMPUTED - Three-Family Residential","Danvers","105","Three-Family Residential","1"
"106","106 ","IMPUTED - Accessory Land with Improvement","Danvers","106","Accessory Land with Improvement","1"
"109","109 ","IMPUTED - Multiple Houses on one parcel","Danvers","109","Multiple Houses on one parcel","1"
"111","111 ","IMPUTED - Apartments with Four to Eight Units","Danvers","111","Apartments with Four to Eight Units","1"
"112","112 ","IMPUTED - Apartments with More than Eight Units","Danvers","112","Apartments with More than Eight Units","1"
"114","114 ","IMPUTED - Affordable Housing Units (Greater than 50% of the units qualify)","Danvers","114","Affordable Housing Units (Greater than 50% of the units qualify)","1"
"125","125 ","IMPUTED - Other Congregate Housing (includes non-transient shared living arrangements)","Danvers","125","Other Congregate Housing (includes non-transient shared living arrangements)","1"
