"muni_name","muni_id","muni_name_LUT"
"Alford",6,"BLANK"
"Becket",22,"BLANK"
"Berkley",27,"BLANK"
"Bolton",34,"BLANK"
"Chester",59,"BLANK"
"Chesterfield",60,"BLANK"
"Clarksburg",63,"BLANK"
"Conway",68,"BLANK"
"Dighton",76,"BLANK"
"Egremont",90,"BLANK"
"Hawley",129,"BLANK"
"Middlefield",183,"BLANK"
"Millville",188,"BLANK"
"Mount Washington",195,"BLANK"
"Nahant",196,"BLANK"
"New Braintree",202,"BLANK"
"Royalston",255,"BLANK"
"Seekonk",265,"BLANK"
"Somerset",273,"BLANK"
"Tolland",297,"BLANK"
"Tyringham",302,"BLANK"
"Washington",313,"BLANK"
"Webster",316,"BLANK"
