"MUNI.USE_CODE","MUNI.USE_DESC","muni_name","STD.USE_CODE","STD.USE_DESC","MUNI.USE_CODE_underlying"
"1111","Other","Chelsea","111","Apartments with Four to Eight Units","single use"
"1012","OCN FT","Chatham","101","Single Family Residential","single use"
"1014","IMPUTED - Single Family Residential","Chatham","101","Single Family Residential","single use"
"101V","SINGLE FAM  MDL-00","Chatham","101","Single Family Residential","single use"
"1021","CONDO NL  MDL-05","Chatham","102","Residential Condominium","single use"
"102V","CONDO NL  MDL-00","Chatham","102","Residential Condominium","single use"
"104M","TWO FAMILY  MDL-03","Chatham","104","Two-Family Residential","single use"
"106V","AC LND IMP MDL-00","Chatham","106","Accessory Land with Improvement","single use"
"109M","MULTI HSES  MDL-03","Chatham","109","Multiple Houses on one parcel","single use"
"1111","APT 8+UP  MDL-03","Chatham","111","Apartments with Four to Eight Units","single use"
"111R","APT 4-7UNT  MDL-01","Chatham","111","Apartments with Four to Eight Units","single use"
"111C","APT 4-8 UNIT M9","Swansea","111","Apartments with Four to Eight Units","single use"
"112C","APT OVER 8 M94
","Swansea","112","Apartments with More than Eight Units","single use"
"140C","CHILD CARE M94","Swansea","140","Child Care Facility","single use"
"1013","SFR WATER  MDL-01","Concord","101","Single Family Residential","single use"
"1021","Condo NL  MDL-05","Concord","102","Residential Condominium","single use"
"1027","COMMON LN","Concord","102","Residential Condominium","single use"
"1301","RES ACLNPO","Concord","130","Developable Residential Land","single use"
"1313","RES PO RVR","Concord","131","Potentially Developable Residential Land","single use"
"1322","RES UD WET","Concord","132","Undevelopable Residential Land","single use"
"1325","RES CR","Concord","132","Undevelopable Residential Land","single use"
"1327","RES COMMON","Concord","132","Undevelopable Residential Land","single use"
"102U","AFFORDABLE  MDL-05","Concord","102","Residential Condominium","single use"
"111C","APT 4-UNT  MDL-94
APT 4-UNT  MDL-94
APT 4-UNT  MDL-94","Concord","111","Apartments with Four to Eight Units","single use"
"125C","OTHR LIV F  MDL-94","Concord","125","Other Congregate Housing (includes non-transient shared living arrangements)","single use"
