"xwalk_uc","MUNI.USE_CODE","MUNI.USE_CODE_fix","MUNI.USE_CODE_underlying","MUNI.USE_DESC","mu.flag","td.mu.flag","muni_name","uk.flag","other","char_count","dls.dupes","matched","initial.use_type","STD.USE_CODE","STD.USE_DESC","od_uc","td_uc"
"303","0303","303","303","ACC COM LD",FALSE,FALSE,"Marion",FALSE,FALSE,10,FALSE,1,"mixed","303",NA,"3","0"
"34R","034R","34R","34R","OFFICE BLD M01",FALSE,FALSE,"Marion",FALSE,FALSE,14,FALSE,1,"mixed","34R",NA,"3","4"
"34I","034I","34I","34I","OFFICE BLD  MDL-96",FALSE,FALSE,"Chelsea",FALSE,FALSE,18,FALSE,1,"mixed","34I",NA,"3","4"
"34R","034R","34R","34R","OFFICE BLD  MDL-01",FALSE,FALSE,"Chelsea",FALSE,FALSE,18,FALSE,1,"mixed","34R",NA,"3","4"
"31R","031R","31R","31R","AUTO S S&S",FALSE,FALSE,"Palmer",FALSE,FALSE,10,FALSE,1,"mixed","31R",NA,"3","1"
"34R","034R","34R","34R","GAS ST SRV",FALSE,FALSE,"Palmer",FALSE,FALSE,10,FALSE,1,"mixed","34R",NA,"3","4"
"471","0471","471","471","Industrial",FALSE,FALSE,"Westborough",FALSE,FALSE,10,FALSE,1,"mixed","471",NA,"4","7"
"417","0417","417","417","Quarry & Vacant buildable lot",FALSE,FALSE,"Goshen",FALSE,FALSE,29,FALSE,1,"mixed","417",NA,"4","1"
"31I","031I","31I","31I","LUMBER YRD MDL C",FALSE,FALSE,"Middleborough",FALSE,FALSE,16,FALSE,1,"mixed","31I",NA,"3","1"
"34I","034I","34I","34I","OFFICE MDL-96 C",FALSE,FALSE,"Middleborough",FALSE,FALSE,15,FALSE,1,"mixed","34I",NA,"3","4"
"34R","034R","34R","34R","OFFICE MDL-01 C",FALSE,FALSE,"Middleborough",FALSE,FALSE,15,FALSE,1,"mixed","34R",NA,"3","4"
"34V","034V","34V","34V","OFFICE MDL-00 C",FALSE,FALSE,"Middleborough",FALSE,FALSE,15,FALSE,1,"mixed","34V",NA,"3","4"
"133","0133","133","133","TWO FAM MDL-94",FALSE,FALSE,"Middleborough",FALSE,FALSE,14,FALSE,1,"mixed","133",NA,"1","3"
"319","0319","319","319","COMM WHSE MDL-00",FALSE,FALSE,"Middleborough",FALSE,FALSE,16,FALSE,1,"mixed","319",NA,"3","1"
"343","0343","343","343","OFFICE BLD MDL-01",FALSE,FALSE,"Middleborough",FALSE,FALSE,17,FALSE,1,"mixed","343",NA,"3","4"
"34R","034R","34R","34R","OFFICE BLD M-01",FALSE,FALSE,"Rehoboth",FALSE,FALSE,15,FALSE,1,"mixed","34R",NA,"3","4"
"38R","038R","38R","38R","GOLF CRSE M-01",FALSE,FALSE,"Rehoboth",FALSE,FALSE,14,FALSE,1,"mixed","38R",NA,"3","8"
"38V","038V","38V","38V","OTHR OUTDR M-00",FALSE,FALSE,"Rehoboth",FALSE,FALSE,15,FALSE,1,"mixed","38V",NA,"3","8"
"136","0136","136","136","PRED RES",FALSE,FALSE,"Wrentham",FALSE,FALSE,8,FALSE,1,"mixed","136",NA,"1","3"
"181","0181","181","181","PRED RES 800 V",FALSE,FALSE,"Wrentham",FALSE,FALSE,14,FALSE,1,"mixed","181",NA,"1","8"
"182","0182","182","182","PRED RES 800 C",FALSE,FALSE,"Wrentham",FALSE,FALSE,14,FALSE,1,"mixed","182",NA,"1","8"
"319","0319","319","319","PRED COMM R",FALSE,FALSE,"Wrentham",FALSE,FALSE,11,FALSE,1,"mixed","319",NA,"3","1"
"13V","013V","13V","13V","IMPUTED - VACANT LAND -DEV",FALSE,FALSE,"Petersham",FALSE,FALSE,26,FALSE,1,"mixed","13V",NA,"1","3"
"173","0173","173","173","Residence, Chapter 61A, Farm Building",FALSE,FALSE,"Northfield",FALSE,FALSE,37,FALSE,1,"mixed","173",NA,"1","7"
"31V","031V","31V","31V","WHS MDL00",FALSE,FALSE,"North Attleborough",FALSE,FALSE,9,FALSE,1,"mixed","31V",NA,"3","1"
"176","0176","176","176","Residence, Chapter 61 Agriculture, Chapter 61 Forest",FALSE,FALSE,"Northfield",FALSE,FALSE,52,FALSE,1,"mixed","176",NA,"1","7"
"171","0171","171","171","RES ACLNDV",FALSE,FALSE,"Gloucester",FALSE,FALSE,10,FALSE,1,"mixed","171",NA,"1","7"
"181","0181","181","181","61B-TWO FAM
61B-TWO FAM
",FALSE,FALSE,"Gloucester",FALSE,FALSE,26,FALSE,1,"mixed","181",NA,"1","8"
"182","0182","182","182","61B-RES ACLNUD",FALSE,FALSE,"Gloucester",FALSE,FALSE,14,FALSE,1,"mixed","182",NA,"1","8"
"303","0303","303","303","STUDIO",FALSE,FALSE,"Newburyport",FALSE,FALSE,6,FALSE,1,"mixed","303",NA,"3","0"
"34I","034I","34I","34I","OFFICE BLDG MDL -96",FALSE,FALSE,"Hanover",FALSE,FALSE,19,FALSE,1,"mixed","34I",NA,"3","4"
"613","0613","613","613","Chapter Land",FALSE,FALSE,"Uxbridge",FALSE,FALSE,12,FALSE,1,"mixed","613",NA,"6","1"
"178","0178","178","178","Chapter Land",FALSE,FALSE,"Uxbridge",FALSE,FALSE,12,FALSE,1,"mixed","178",NA,"1","7"
"34R","034R","34R","34R","OFFICE BLD M01",FALSE,FALSE,"Millbury",FALSE,FALSE,14,FALSE,1,"mixed","34R",NA,"3","4"
"34B","034B","34B","34B","PROF BLDG MDL-01",FALSE,FALSE,"Easton",FALSE,FALSE,16,FALSE,1,"mixed","34B",NA,"3","4"
"34R","034R","34R","34R","OFFICE BLD MDL-01",FALSE,FALSE,"Easton",FALSE,FALSE,17,FALSE,1,"mixed","34R",NA,"3","4"
"71R","071R","71R","71R","TR CRP VEG MDL-01",FALSE,FALSE,"Easton",FALSE,FALSE,17,FALSE,1,"mixed","71R",NA,"7","1"
"133","0133","133","133","MULTIUSE-RES-COM",FALSE,FALSE,"Cambridge",FALSE,FALSE,16,FALSE,1,"mixed","133",NA,"1","3"
"31V","031V","31V","31V","COM/RES",FALSE,FALSE,"Ludlow",FALSE,FALSE,7,FALSE,1,"mixed","31V",NA,"3","1"
"34V","034V","34V","34V","COM/IND",FALSE,FALSE,"Ludlow",FALSE,FALSE,7,FALSE,1,"mixed","34V",NA,"3","4"
"38C","038C","38C","38C","Campground MDL",FALSE,FALSE,"Otis",FALSE,FALSE,14,FALSE,1,"mixed","38C",NA,"3","8"
"319","0319","319","319","Prim Comm R",FALSE,FALSE,"Otis",FALSE,FALSE,11,FALSE,1,"mixed","319",NA,"3","1"
"34C","034C","34C","34C","Office Bld Mdl-94",FALSE,FALSE,"Otis",FALSE,FALSE,17,FALSE,1,"mixed","34C",NA,"3","4"
"187","0187","187","187","Residential, Agricultural",FALSE,FALSE,"Lanesborough",FALSE,FALSE,25,FALSE,1,"mixed","187",NA,"1","8"
"137","0137","137","137","RES/COM/61A",FALSE,FALSE,"Franklin",FALSE,FALSE,11,FALSE,1,"mixed","137",NA,"1","3"
"138","0138","138","138","RES/COM/61B",FALSE,FALSE,"Franklin",FALSE,FALSE,11,FALSE,1,"mixed","138",NA,"1","3"
"173","0173","173","173","RES/61A/COM",FALSE,FALSE,"Franklin",FALSE,FALSE,11,FALSE,1,"mixed","173",NA,"1","7"
"187","0187","187","187","RES/61B/61A",FALSE,FALSE,"Franklin",FALSE,FALSE,11,FALSE,1,"mixed","187",NA,"1","8"
"837","0837","837","837","61B/COM/61A",FALSE,FALSE,"Franklin",FALSE,FALSE,11,FALSE,1,"mixed","837",NA,"8","3"
"873","0873","873","873","61B/61A/COM",FALSE,FALSE,"Franklin",FALSE,FALSE,11,FALSE,1,"mixed","873",NA,"8","7"
"137","0137","137","137","Residential/Commercial/61A",FALSE,FALSE,"Sherborn",FALSE,FALSE,26,FALSE,1,"mixed","137",NA,"1","3"
"138","0138","138","138","Residential/Commercial/61B",FALSE,FALSE,"Sherborn",FALSE,FALSE,26,FALSE,1,"mixed","138",NA,"1","3"
"167","0167","167","167","Residential/chapter 61/chapter 61A",FALSE,FALSE,"Sherborn",FALSE,FALSE,34,FALSE,1,"mixed","167",NA,"1","6"
"31I","031I","31I","31I","LUMBER YRD MDL C",FALSE,FALSE,"Chelmsford",FALSE,FALSE,16,FALSE,1,"mixed","31I",NA,"3","1"
"783","0783","783","783","Chapter 61A/chapter 61B/Commercial",FALSE,FALSE,"Sherborn",FALSE,FALSE,34,FALSE,1,"mixed","783",NA,"7","8"
"176","0176","176","176","residential/agricultural/forestry",FALSE,FALSE,"Sherborn",FALSE,FALSE,33,FALSE,1,"mixed","176",NA,"1","7"
"187","0187","187","187","residential/recreational/agricultural",FALSE,FALSE,"Sherborn",FALSE,FALSE,37,FALSE,1,"mixed","187",NA,"1","8"
"178","0178","178","178","Residential/chapter 61A/chapter 61B",FALSE,FALSE,"Sherborn",FALSE,FALSE,35,FALSE,1,"mixed","178",NA,"1","7"
"34I","034I","34I","34I","OFFICE MDL-96 C",FALSE,FALSE,"Chelmsford",FALSE,FALSE,15,FALSE,1,"mixed","34I",NA,"3","4"
"34R","034R","34R","34R","OFFICE MDL-01 C",FALSE,FALSE,"Chelmsford",FALSE,FALSE,15,FALSE,1,"mixed","34R",NA,"3","4"
"34V","034V","34V","34V","OFFICE MDL-00 C",FALSE,FALSE,"Chelmsford",FALSE,FALSE,15,FALSE,1,"mixed","34V",NA,"3","4"
"345","0345","345","345","Office Building",FALSE,FALSE,"Truro",FALSE,FALSE,15,FALSE,1,"mixed","345",NA,"3","4"
"873","0873","873","873","Misc",FALSE,FALSE,"Saugus",FALSE,FALSE,4,FALSE,1,"mixed","873",NA,"8","7"
"34R","034R","34R","34R","Office Bld MDL - 01",FALSE,FALSE,"Attleboro",FALSE,FALSE,19,FALSE,1,"mixed","34R",NA,"3","4"
"34R","034R","34R","34R","Office Building MDL-01",FALSE,FALSE,"Sharon",FALSE,FALSE,22,FALSE,1,"mixed","34R",NA,"3","4"
"31I","031I","31I","31I","COM GRN HS  MDL-96",FALSE,FALSE,"Sharon",FALSE,FALSE,18,FALSE,1,"mixed","31I",NA,"3","1"
"137","0137","137","137","Res/Com/Agr",FALSE,FALSE,"Agawam",FALSE,FALSE,11,FALSE,1,"mixed","137",NA,"1","3"
"71C","071C","71C","71C","FRM/RES",FALSE,FALSE,"Agawam",FALSE,FALSE,7,FALSE,1,"mixed","71C",NA,"7","1"
"71R","071R","71R","71R","FRM/RES",FALSE,FALSE,"Agawam",FALSE,FALSE,7,FALSE,1,"mixed","71R",NA,"7","1"
"81R","081R","81R","81R","REC/RES",FALSE,FALSE,"Agawam",FALSE,FALSE,7,FALSE,1,"mixed","81R",NA,"8","1"
"13H","013H","13H","13H","RES PART MU",FALSE,FALSE,"Barnstable",FALSE,FALSE,11,FALSE,1,"mixed","13H",NA,"1","3"
"31L","031L","31L","31L","COMM WHSE M96",FALSE,FALSE,"Barnstable",FALSE,FALSE,13,FALSE,1,"mixed","31L",NA,"3","1"
"38C","038C","38C","38C","GOLF CRSE MDL",FALSE,FALSE,"Boylston",FALSE,FALSE,13,FALSE,1,"mixed","38C",NA,"3","8"
"38I","038I","38I","38I","GOLF CRSE MDL",FALSE,FALSE,"Boylston",FALSE,FALSE,13,FALSE,1,"mixed","38I",NA,"3","8"
"31I","031I","31I","31I","Prime Commercial",FALSE,FALSE,"Boylston",FALSE,FALSE,16,FALSE,1,"mixed","31I",NA,"3","1"
"173","0173","173","173","Residential/61A/Commercial",FALSE,FALSE,"Sudbury",FALSE,FALSE,26,FALSE,1,"mixed","173",NA,"1","7"
"137","0137","137","137","Residential/Commercial/61A
Residential/Commercial/61A
",FALSE,FALSE,"Sudbury",FALSE,FALSE,56,FALSE,1,"mixed","137",NA,"1","3"
"147","0147","147","147","Combo 101,717 & 452 (1 fam, 61A & solar)",FALSE,FALSE,"Warren",FALSE,FALSE,40,FALSE,1,"mixed","147",NA,"1","4"
"187","0187","187","187","Combo 101, 803, 716 & 718 (1Fam, 61B, & 61A)",FALSE,FALSE,"Warren",FALSE,FALSE,44,FALSE,1,"mixed","187",NA,"1","8"
"343","0343","343","343","IMPUTED - Office Condo",FALSE,FALSE,"Edgartown",FALSE,FALSE,22,FALSE,1,"mixed","343",NA,"3","4"
