"STD.USE_CODE","STD.USE_DESC","MUNI.USE_CODE","MUNI.USE_DESC","MUNI.USE_CODE_underlying","muni_name","matched","other","char_count","initial.use_type"
"031","Mixed Use (Primarily Commercial, some Residential)","0316","Mixed Use-Commercial Warehouse/Two Family","316","Chelsea",1,FALSE,41,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","0134","mixed use and majority residential","134","Chelsea",1,FALSE,34,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","013C","PRI RES MDL-94","13C","Chatham",1,FALSE,14,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","013M","PRI RES MDL-03","13M","Chatham",1,FALSE,14,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","013R","PRI RES MDL-01","13R","Chatham",1,FALSE,14,"mixed"
"031","Mixed Use (Primarily Commercial, some Residential)","031R","PRI COMM MDL-01","31R","Chatham",1,FALSE,15,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","0137","Has house, commercial retail store, and sits on Chapter Land","137","Bellingham",1,FALSE,60,"mixed"
"034","Mixed Use (Primarily Commercial, some Industrial)","0341","Mixed use, has solar farm","341","Bellingham",1,FALSE,25,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0712","Agricultural with Residential","712","Concord",1,FALSE,29,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0713","Agricultural with Residential","713","Concord",1,FALSE,29,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0714","Agricultural with Residential","714","Concord",1,FALSE,29,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0715","Agricultural with Residential","715","Concord",1,FALSE,29,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0717","Agricultural with Residential","717","Concord",1,FALSE,29,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","0134","PRI RS C/I","134","Marion",1,FALSE,10,"mixed"
"016","Mixed Use (Primarily Residential, Some Forest)","016R","MU RS CH61 M01","16R","Marion",1,FALSE,14,"mixed"
"017","Mixed Use (Primarily Residential, Some Agriculture)","017R","MU RS CH61A M01","17R","Marion",1,FALSE,15,"mixed"
"018","Mixed Use (Primarily Residential, Some Recreation)","018R","MU RS CH61B M01","18R","Marion",1,FALSE,15,"mixed"
"037","Mixed Use (Primarily Commercial, some Agriculture)","037I","MU CM CH61A M96","37I","Marion",1,FALSE,15,"mixed"
"038","Mixed Use (Primarily Commercial, some Recreation)","038G","MU CM CH61A M95","38G","Marion",1,FALSE,15,"mixed"
"038","Mixed Use (Primarily Commercial, some Recreation)","038I","MU CM CH61B M96","38I","Marion",1,FALSE,15,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","0136","Mixed use","136","Orange",1,FALSE,9,"mixed"
"017","Mixed Use (Primarily Residential, Some Agriculture)","0176","Mixed use","176","Orange",1,FALSE,9,"mixed"
"034","Mixed Use (Primarily Commercial, some Industrial)","0341","Mixed use","341","Orange",1,FALSE,9,"mixed"
"041","Mixed Use (Primarily Industrial, some Residential)","0416","Mixed Use (Primarily Industrial, Some Residential, Some Forestry)","416","Orange",1,FALSE,65,"mixed"
"016","Mixed Use (Primarily Residential, Some Forest)","016V","MIXED RES FOREST-VACANT","16V","Orange",1,FALSE,23,"mixed"
"018","Mixed Use (Primarily Residential, Some Recreation)","018V","MIXED RES-REC VACANT","18V","Orange",1,FALSE,20,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","0137","Residential, Commercial and Chapter 61A","137","Charlemont",1,FALSE,39,"mixed"
"016","Mixed Use (Primarily Residential, Some Forest)","0167","Residential, Chapter 61 and Chapter 61A","167","Charlemont",1,FALSE,39,"mixed"
"017","Mixed Use (Primarily Residential, Some Agriculture)","0176","Residential, Chapter 61A and Chapter 61","176","Charlemont",1,FALSE,39,"mixed"
"034","Mixed Use (Primarily Commercial, some Industrial)","0342","IMPUTED - Mixed Use Primarily Commercial, Some Industrial, Some Open Space","342","Orange",1,FALSE,74,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0713","IMPUTED - Mixed Use Primarily Agricultural, Some Residential, Some Open Space","713","Orange",1,FALSE,77,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","0131","Mixed use, primarily Vacant land","131","New Salem",1,FALSE,32,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0717","Mixed use, primarily Chapter 61-A Productive woodland","717","New Salem",1,FALSE,53,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0718","Mixed use, primarily Chapter 61-A necessary related lands","718","New Salem",1,FALSE,57,"mixed"
"031","Mixed Use (Primarily Commercial, some Residential)","0311","IMPUTED - Bottled Gas and Propane Gas Tanks","311","Groton",1,FALSE,43,"mixed"
"031","Mixed Use (Primarily Commercial, some Residential)","0316","IMPUTED - Other Storage, Warehouse, and Distribution facilities (see also usecode 401)","316","Groton",1,TRUE,86,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0714","Mixed Use Primarily Chapter 61-A Orchards","714","New Salem",1,FALSE,41,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","0137","mixed use, primarily 101, plus commercial & chapter land (7 = agricultural)","137","Northborough",1,FALSE,75,"mixed"
"031","Mixed Use (Primarily Commercial, some Residential)","0318","mixed use, primarily commercial, plus residential & chapter (8 = recreation)","318","Northborough",1,FALSE,76,"mixed"
"037","Mixed Use (Primarily Commercial, some Agriculture)","0371","mixed use, primarily commercial, plus chapter land and residential","371","Northborough",1,FALSE,66,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0712","MIXED USE: TR CRP VEG","712","Palmer",1,FALSE,21,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0713","MIXED USE: FIELD CRPS","713","Palmer",1,FALSE,21,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0715","MIXED USE: VINEYARDS","715","Palmer",1,FALSE,20,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0717","MIXED USE: PROD WOOD","717","Palmer",1,FALSE,20,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0718","MIXED USE: PASTURE","718","Palmer",1,FALSE,18,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","0137","Mixed Use- Town Code","137","Danvers",1,FALSE,20,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","0131","Mixed Use Residential/Commercial","131","Chicopee",1,FALSE,32,"mixed"
"031","Mixed Use (Primarily Commercial, some Residential)","0311","Mixed Use Residential/Commercial","311","Chicopee",1,FALSE,32,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","0138","Mixed use, residential, commercial, recreational","138","Shirley",1,FALSE,48,"mixed"
"016","Mixed Use (Primarily Residential, Some Forest)","0168","Mixed use, residential, forest, recreational","168","Shirley",1,FALSE,44,"mixed"
"018","Mixed Use (Primarily Residential, Some Recreation)","0186","Mixed Use, residential, classified chapter recreational and forestry","186","Shirley",1,FALSE,68,"mixed"
"014","Mixed Use (Primarily Residential, Some Industrial)","0146","Mixed use, residential, chapter land, and energy (solar project)","146","Shirley",1,FALSE,64,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","0137","MIXED USE SINGLE FAMILY HOME, COMMERTICAL AND CHAPTER LAND 61A","137","Upton",1,FALSE,62,"mixed"
"017","Mixed Use (Primarily Residential, Some Agriculture)","0173","MIXED USE SINGLE FAMILY HOME, CHAPTER LAND &  COMMERTICAL CHAPTER LAND61A","173","Upton",1,FALSE,73,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0713","MIXED USE CHAPTER LAND 61A, SINGLE FAMILY HOME AND COMMERICAL","713","Upton",1,FALSE,61,"mixed"
"017","Mixed Use (Primarily Residential, Some Agriculture)","0178","MIXED USE SINGLE FAMILY & CHAPTER BOTH 61A & 61B","178","Upton",1,FALSE,48,"mixed"
"071","Mixed Use (Primarily Agriculture, some Residential)","0718","MIXED USE 61A , SINGLE FAMILY  & 61B","718","Upton",1,FALSE,36,"mixed"
"013","Mixed Use (Primarily Residential, Some Commercial)","0137","IMPUTED - Mixed Use (Primarily Residential, some Commercial, some Agriculture)","137","Great Barrington",1,FALSE,78,"mixed"
"016","Mixed Use (Primarily Residential, Some Forest)","0167","IMPUTED - Mixed Use (Primarily Residential, some Forest, some Agriculture)","167","Great Barrington",1,FALSE,74,"mixed"
