"STD.USE_CODE","STD.USE_DESC","MUNI.USE_CODE","MUNI.USE_DESC","MUNI.USE_CODE_underlying","muni_name"
"109","Multiple Houses on one parcel","1070","SFR/IN LAW","single use","Marion"
"103","Mobile Home (includes mobile home park land)","110","Mobile Home Park","single use","Orange"
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Dalton"
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Fitchburg"
"106","Accessory Land with Improvement","1070","SFRACCAPT R","single use","Middleborough"
"302","Inns, Resorts, or Tourist Homes","1200","INN/B&B","single use","Middleborough"
"302","Inns, Resorts, or Tourist Homes","120C","INN/B&B","single use","Middleborough"
"302","Inns, Resorts, or Tourist Homes","120V","INN/B&B","single use","Middleborough"
"103","Mobile Home (includes mobile home park land)","1500","MOBILE HOME PARK","single use","Middleborough"
"103","Mobile Home (includes mobile home park land)","1501","MBL HM PK MDL-94","single use","Middleborough"
"103","Mobile Home (includes mobile home park land)","1502","MBL HM PK MDL-96","single use","Middleborough"
"103","Mobile Home (includes mobile home park land)","1503","MBL HM PK MDL-01","single use","Middleborough"
"103","Mobile Home (includes mobile home park land)","1504","MBL HM PK MDL 00","single use","Middleborough"
"101","Single Family Residential","107","SINGLE FAM RETREAT","single use","Middleborough"
"103","Mobile Home (includes mobile home park land)","1100","TRLR PK","single use","Carver"
"106","Accessory Land with Improvement","1070","Outbuilding Code same as 1060","single use","Ashburnham"
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Brimfield"
"109","Multiple Houses on one parcel","1070","SFR/INLAW","single use","North Attleborough"
"101","Single Family Residential","160","61-SING FAM","single use","Gloucester"
"101","Single Family Residential","170","61A-SING FAM","single use","Gloucester"
"101","Single Family Residential","180","61B-SING FAM","single use","Gloucester"
"104","Two-Family Residential","181","61B-TWO FAM","single use","Gloucester"
"106","Accessory Land with Improvement","182","61B-RES ACLNUD","single use","Gloucester"
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Greenfield"
"210","Non-Productive Agricultural Land (non-Chap61(A) part of operating farm or forest)","137","Residential/Commercial/Agricultural","single use","Andover"
"125","Other Congregate Housing (includes non-transient shared living arrangements)","113","ASSISTED-LIV","single use","Cambridge"
"102","Residential Condominium","199","CONDO-BLDG","single use","Cambridge"
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Pepperell"
"103","Mobile Home (includes mobile home park land)","110","Trailer park","single use","Dunstable"
"102","Residential Condominium","1131","CONDO IN APT BUILDING","single use","Newton"
"103","Mobile Home (includes mobile home park land)","107V","Parking","single use","Newton"
"125","Other Congregate Housing (includes non-transient shared living arrangements)","126C","Assisted Living","single use","Newton"
"125","Other Congregate Housing (includes non-transient shared living arrangements)","126R","Assisted Living","single use","Newton"
"123","Residence Halls or Dormitories","110","Residence, multiunit","single use","Lanesborough"
"106","Accessory Land with Improvement","1070","Apartment/Outbuildings","single use","Randolph"
"106","Accessory Land with Improvement","1070","SFRACCAPT R","single use","Chelmsford"
"302","Inns, Resorts, or Tourist Homes","1200","INN/B&B","single use","Chelmsford"
"302","Inns, Resorts, or Tourist Homes","120C","INN/B&B","single use","Chelmsford"
"302","Inns, Resorts, or Tourist Homes","120V","INN/B&B","single use","Chelmsford"
"302","Inns, Resorts, or Tourist Homes","1260","Bed & Brkf","single use","Barnstable"
"261","All Land designated under Chapter 61 (classified as Open Space)","1070","Res CH61A","single use","Rutland"
"103","Mobile Home (includes mobile home park land)","110","Trailer park. (state code)","single use","Warren"
"101","Single Family Residential","160","Single Fam MDL-01","single use","Rochester"
"101","Single Family Residential","170","Single Fam MDL-01","single use","Rochester"
"261","All Land designated under Chapter 61 (classified as Open Space)","180","RES CH 61B REC MX","single use","Rochester"
"310","Tanks Holding Fuel and Oil Products for Retail Distribution, either Above Ground or Underground","107","Campground","single use","Fall River"
"505","Machinery, Poles, Wires, and Underground Conduits, Wires and Pipes of all Telephone and Telegraph Cos., per Comm. Of Rev","108","Previously Exempt Propery","single use","Fall River"
"953","Cemeteries (Charitable Org.)","1900","CEMETERIES","single use","Dennis"
"109","Multiple Houses on one parcel","1070","IN-LAW APT","single use","Holden"
"302","Inns, Resorts, or Tourist Homes","120C","Inn - Com","single use","Amherst"
"302","Inns, Resorts, or Tourist Homes","1200","Inn - Res","single use","Amherst"
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Malden"
"125","Other Congregate Housing (includes non-transient shared living arrangements)","107","Residential; non-conforming to normal market values throughout Northampton","single use","Northampton"
"101","Single Family Residential","108","Residential; co-housing complex","single use","Northampton"
"102","Residential Condominium","172","Condominium","single use","Brookline"
"102","Residential Condominium","108","CONDO","single use","Brookline"
"103","Mobile Home (includes mobile home park land)","137","RES-PARKING","single use","Brookline"
"103","Mobile Home (includes mobile home park land)","110","trailer park","single use","Ware"
"261","All Land designated under Chapter 61 (classified as Open Space)","160","IMPUTED - RES 61","single use","Hamilton"
"261","All Land designated under Chapter 61 (classified as Open Space)","170","IMPUTED - RES 61A","single use","Hamilton"
"261","All Land designated under Chapter 61 (classified as Open Space)","108","IMPUTED - RESIDENTIAL 61B","single use","Hamilton"
"123","Residence Halls or Dormitories","137","Residence","single use","Cummington"
"102","Residential Condominium","108","CONDO PARKING (RES)","single use","Boston"
"102","Residential Condominium","110","CONDO STORAGE (RES)","single use","Boston"
"361","Art Galleries","115","CO-OP APARTMENT","single use","Boston"
"103","Mobile Home (includes mobile home park land)","118","ELDERLY HOME","single use","Boston"
"103","Mobile Home (includes mobile home park land)","119","RES PARKING LOT","single use","Boston"
"361","Art Galleries","120","LUXURY APARTMENT","single use","Boston"
"101","Single Family Residential","126","SUBSD HOUSING S-231D","single use","Boston"
"101","Single Family Residential","127","SUBSD HOUSING S-202","single use","Boston"
"102","Residential Condominium","128","CONDO APARTMENT","single use","Boston"
"961","Rectory or Parsonage","129","RECTORY/CONVENT","single use","Boston"
"103","Mobile Home (includes mobile home park land)","110","Old trailer park code, should now be 103","single use","Marshfield"
"302","Inns, Resorts, or Tourist Homes","107","Inn Res 3 Rm","single use","Salem"
"404","Research and Development facilities","1001","Planned Development","single use","Nantucket"
"125","Other Congregate Housing (includes non-transient shared living arrangements)","1070","Cooperative M01","single use","Nantucket"
"125","Other Congregate Housing (includes non-transient shared living arrangements)","1073","Cooperative Waterfront M01","single use","Nantucket"
"125","Other Congregate Housing (includes non-transient shared living arrangements)","107V","Coopertive Waterfront M00","single use","Nantucket"
"132","Undevelopable Residential Land","1333","Unbuildable Waterfront PF Wet","single use","Nantucket"
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Holbrook"
"361","Art Galleries","110","Apartment","single use","Stoughton"
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Erving"
"290","Wet land, scrub land, rock land (classified as Open Space)","2920","WET LAND, SCRUB LAND","single use","Carver"
"290","Wet land, scrub land, rock land (classified as Open Space)","2920","WET LAND, SCRUB LAND","single use","Westport"
"261","All Land designated under Chapter 61 (classified as Open Space)","292","Chapter 61A Lands","single use","Sturbridge"
"261","All Land designated under Chapter 61 (classified as Open Space)","2920","CH61A NON PRODUCTIVE WETLAND","single use","Sturbridge"
"290","Wet land, scrub land, rock land (classified as Open Space)","2920","WET LAND, SCRUB LAND","single use","Dennis"
"210","Non-Productive Agricultural Land (non-Chap61(A) part of operating farm or forest)","292","Chap 61A (agricultural) chaptered waste land","single use","Whately"
"106","Accessory Land with Improvement","200","Open Space","single use","Wellesley"
"109","Multiple Houses on one parcel","3030","COTTAGE COLONY","single use","Chatham"
"102","Residential Condominium","3430","COMMERCIAL CONDO","single use","Chatham"
"102","Residential Condominium","3440","INDUSTRIAL CONDO","single use","Chatham"
"106","Accessory Land with Improvement","3030","ACC LD COM","single use","Swansea"
"813","Public Non-Commercial Flying - areas for gliding or hand-gliding (Ch. 61B, not classified as Open Space)","303","Commercial Misc","single use","Bellingham"
"371","Ice Skating Rinks/Facilities","343","Commercial Office Condo","single use","Bellingham"
"102","Residential Condominium","327","Retail Condo","single use","Bellingham"
"371","Ice Skating Rinks/Facilities","3430","Office Condo","single use","Harwich"
"106","Accessory Land with Improvement","3030","Accessory Commercial Land","single use","Marion"
