"STD.USE_CODE","STD.USE_DESC","MUNI.USE_CODE","MUNI.USE_DESC","MUNI.USE_CODE_underlying","muni_name","matched","initial.use_type","char_count","other"
"109","Multiple Houses on one parcel","1070","SFR/IN LAW","single use","Marion",0,"single",10,FALSE
"103","Mobile Home (includes mobile home park land)","110","Mobile Home Park","single use","Orange",0,"single",16,FALSE
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Dalton",0,"single",12,FALSE
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Fitchburg",0,"single",12,FALSE
"106","Accessory Land with Improvement","1070","SFRACCAPT R","single use","Middleborough",0,"single",11,FALSE
"302","Inns, Resorts, or Tourist Homes","1200","INN/B&B","single use","Middleborough",0,"single",7,FALSE
"302","Inns, Resorts, or Tourist Homes","120C","INN/B&B","single use","Middleborough",0,"single",7,FALSE
"302","Inns, Resorts, or Tourist Homes","120V","INN/B&B","single use","Middleborough",0,"single",7,FALSE
"103","Mobile Home (includes mobile home park land)","1500","MOBILE HOME PARK","single use","Middleborough",0,"single",16,FALSE
"103","Mobile Home (includes mobile home park land)","1501","MBL HM PK MDL-94","single use","Middleborough",0,"single",16,FALSE
"103","Mobile Home (includes mobile home park land)","1502","MBL HM PK MDL-96","single use","Middleborough",0,"single",16,FALSE
"103","Mobile Home (includes mobile home park land)","1503","MBL HM PK MDL-01","single use","Middleborough",0,"single",16,FALSE
"103","Mobile Home (includes mobile home park land)","1504","MBL HM PK MDL 00","single use","Middleborough",0,"single",16,FALSE
"101","Single Family Residential","107","SINGLE FAM RETREAT","single use","Middleborough",0,"single",18,FALSE
"103","Mobile Home (includes mobile home park land)","1100","TRLR PK","single use","Carver",0,"single",7,FALSE
"106","Accessory Land with Improvement","1070","Outbuilding Code same as 1060","single use","Ashburnham",0,"single",29,FALSE
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Brimfield",0,"single",12,FALSE
"109","Multiple Houses on one parcel","1070","SFR/INLAW","single use","North Attleborough",0,"single",9,FALSE
"101","Single Family Residential","160","61-SING FAM","single use","Gloucester",0,"single",11,FALSE
"101","Single Family Residential","170","61A-SING FAM","single use","Gloucester",0,"single",12,FALSE
"101","Single Family Residential","180","61B-SING FAM","single use","Gloucester",0,"single",12,FALSE
"104","Two-Family Residential","181","61B-TWO FAM","single use","Gloucester",0,"single",11,FALSE
"106","Accessory Land with Improvement","182","61B-RES ACLNUD","single use","Gloucester",0,"single",14,FALSE
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Greenfield",0,"single",12,FALSE
"210","Non-Productive Agricultural Land (non-Chap61(A) part of operating farm or forest)","137","Residential/Commercial/Agricultural","single use","Andover",0,"single",35,FALSE
"125","Other Congregate Housing (includes non-transient shared living arrangements)","113","ASSISTED-LIV","single use","Cambridge",0,"single",12,FALSE
"102","Residential Condominium","199","CONDO-BLDG","single use","Cambridge",0,"single",10,FALSE
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Pepperell",0,"single",12,FALSE
"103","Mobile Home (includes mobile home park land)","110","Trailer park","single use","Dunstable",0,"single",12,FALSE
"102","Residential Condominium","1131","CONDO IN APT BUILDING","single use","Newton",0,"single",21,FALSE
"103","Mobile Home (includes mobile home park land)","107V","Parking","single use","Newton",0,"single",7,FALSE
"125","Other Congregate Housing (includes non-transient shared living arrangements)","126C","Assisted Living","single use","Newton",0,"single",15,FALSE
"125","Other Congregate Housing (includes non-transient shared living arrangements)","126R","Assisted Living","single use","Newton",0,"single",15,FALSE
"123","Residence Halls or Dormitories","110","Residence, multiunit","single use","Lanesborough",0,"single",20,FALSE
"106","Accessory Land with Improvement","1070","Apartment/Outbuildings","single use","Randolph",0,"single",22,FALSE
"106","Accessory Land with Improvement","1070","SFRACCAPT R","single use","Chelmsford",0,"single",11,FALSE
"302","Inns, Resorts, or Tourist Homes","1200","INN/B&B","single use","Chelmsford",0,"single",7,FALSE
"302","Inns, Resorts, or Tourist Homes","120C","INN/B&B","single use","Chelmsford",0,"single",7,FALSE
"302","Inns, Resorts, or Tourist Homes","120V","INN/B&B","single use","Chelmsford",0,"single",7,FALSE
"302","Inns, Resorts, or Tourist Homes","1260","Bed & Brkf","single use","Barnstable",0,"single",10,FALSE
"261","All Land designated under Chapter 61 (classified as Open Space)","1070","Res CH61A","single use","Rutland",0,"single",9,FALSE
"103","Mobile Home (includes mobile home park land)","110","Trailer park. (state code)","single use","Warren",0,"single",26,FALSE
"101","Single Family Residential","160","Single Fam MDL-01","single use","Rochester",0,"single",17,FALSE
"101","Single Family Residential","170","Single Fam MDL-01","single use","Rochester",0,"single",17,FALSE
"261","All Land designated under Chapter 61 (classified as Open Space)","180","RES CH 61B REC MX","single use","Rochester",0,"single",17,FALSE
"310","Tanks Holding Fuel and Oil Products for Retail Distribution, either Above Ground or Underground","107","Campground","single use","Fall River",0,"single",10,FALSE
"505","Machinery, Poles, Wires, and Underground Conduits, Wires and Pipes of all Telephone and Telegraph Cos., per Comm. Of Rev","108","Previously Exempt Propery","single use","Fall River",0,"single",25,FALSE
"953","Cemeteries (Charitable Org.)","1900","CEMETERIES","single use","Dennis",0,"single",10,FALSE
"109","Multiple Houses on one parcel","1070","IN-LAW APT","single use","Holden",0,"single",10,FALSE
"302","Inns, Resorts, or Tourist Homes","120C","Inn - Com","single use","Amherst",0,"single",9,FALSE
"302","Inns, Resorts, or Tourist Homes","1200","Inn - Res","single use","Amherst",0,"single",9,FALSE
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Malden",0,"single",12,FALSE
"125","Other Congregate Housing (includes non-transient shared living arrangements)","107","Residential; non-conforming to normal market values throughout Northampton","single use","Northampton",0,"single",74,FALSE
"101","Single Family Residential","108","Residential; co-housing complex","single use","Northampton",0,"single",31,FALSE
"102","Residential Condominium","172","Condominium","single use","Brookline",0,"single",11,FALSE
"102","Residential Condominium","108","CONDO","single use","Brookline",0,"single",5,FALSE
"103","Mobile Home (includes mobile home park land)","137","RES-PARKING","single use","Brookline",0,"single",11,FALSE
"103","Mobile Home (includes mobile home park land)","110","trailer park","single use","Ware",0,"single",12,FALSE
"261","All Land designated under Chapter 61 (classified as Open Space)","160","IMPUTED - RES 61","single use","Hamilton",0,"single",16,FALSE
"261","All Land designated under Chapter 61 (classified as Open Space)","170","IMPUTED - RES 61A","single use","Hamilton",0,"single",17,FALSE
"261","All Land designated under Chapter 61 (classified as Open Space)","108","IMPUTED - RESIDENTIAL 61B","single use","Hamilton",0,"single",25,FALSE
"123","Residence Halls or Dormitories","137","Residence","single use","Cummington",0,"single",9,FALSE
"102","Residential Condominium","108","CONDO PARKING (RES)","single use","Boston",0,"single",19,FALSE
"102","Residential Condominium","110","CONDO STORAGE (RES)","single use","Boston",0,"single",19,FALSE
"361","Art Galleries","115","CO-OP APARTMENT","single use","Boston",0,"single",15,FALSE
"103","Mobile Home (includes mobile home park land)","118","ELDERLY HOME","single use","Boston",0,"single",12,FALSE
"103","Mobile Home (includes mobile home park land)","119","RES PARKING LOT","single use","Boston",0,"single",15,FALSE
"361","Art Galleries","120","LUXURY APARTMENT","single use","Boston",0,"single",16,FALSE
"101","Single Family Residential","126","SUBSD HOUSING S-231D","single use","Boston",0,"single",20,FALSE
"101","Single Family Residential","127","SUBSD HOUSING S-202","single use","Boston",0,"single",19,FALSE
"102","Residential Condominium","128","CONDO APARTMENT","single use","Boston",0,"single",15,FALSE
"961","Rectory or Parsonage","129","RECTORY/CONVENT","single use","Boston",0,"single",15,FALSE
"103","Mobile Home (includes mobile home park land)","110","Old trailer park code, should now be 103","single use","Marshfield",0,"single",40,FALSE
"302","Inns, Resorts, or Tourist Homes","107","Inn Res 3 Rm","single use","Salem",0,"single",12,FALSE
"404","Research and Development facilities","1001","Planned Development","single use","Nantucket",0,"single",19,FALSE
"125","Other Congregate Housing (includes non-transient shared living arrangements)","1070","Cooperative M01","single use","Nantucket",0,"single",15,FALSE
"125","Other Congregate Housing (includes non-transient shared living arrangements)","1073","Cooperative Waterfront M01","single use","Nantucket",0,"single",26,FALSE
"125","Other Congregate Housing (includes non-transient shared living arrangements)","107V","Coopertive Waterfront M00","single use","Nantucket",0,"single",25,FALSE
"132","Undevelopable Residential Land","1333","Unbuildable Waterfront PF Wet","single use","Nantucket",0,"single",29,FALSE
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Holbrook",0,"single",12,FALSE
"361","Art Galleries","110","Apartment","single use","Stoughton",0,"single",9,FALSE
"103","Mobile Home (includes mobile home park land)","110","Trailer Park","single use","Erving",0,"single",12,FALSE
"290","Wet land, scrub land, rock land (classified as Open Space)","2920","WET LAND, SCRUB LAND","single use","Carver",0,"single",20,FALSE
"290","Wet land, scrub land, rock land (classified as Open Space)","2920","WET LAND, SCRUB LAND","single use","Westport",0,"single",20,FALSE
"261","All Land designated under Chapter 61 (classified as Open Space)","292","Chapter 61A Lands","single use","Sturbridge",0,"single",17,FALSE
"261","All Land designated under Chapter 61 (classified as Open Space)","2920","CH61A NON PRODUCTIVE WETLAND","single use","Sturbridge",0,"single",28,FALSE
"290","Wet land, scrub land, rock land (classified as Open Space)","2920","WET LAND, SCRUB LAND","single use","Dennis",0,"single",20,FALSE
"210","Non-Productive Agricultural Land (non-Chap61(A) part of operating farm or forest)","292","Chap 61A (agricultural) chaptered waste land","single use","Whately",0,"single",44,FALSE
"106","Accessory Land with Improvement","200","Open Space","single use","Wellesley",0,"single",10,FALSE
"109","Multiple Houses on one parcel","3030","COTTAGE COLONY","single use","Chatham",0,"single",14,FALSE
"102","Residential Condominium","3430","COMMERCIAL CONDO","single use","Chatham",0,"single",16,FALSE
"102","Residential Condominium","3440","INDUSTRIAL CONDO","single use","Chatham",0,"single",16,FALSE
"106","Accessory Land with Improvement","3030","ACC LD COM","single use","Swansea",0,"single",10,FALSE
"813","Public Non-Commercial Flying - areas for gliding or hand-gliding (Ch. 61B, not classified as Open Space)","303","Commercial Misc","single use","Bellingham",0,"single",15,FALSE
"371","Ice Skating Rinks/Facilities","343","Commercial Office Condo","single use","Bellingham",0,"single",23,FALSE
"102","Residential Condominium","327","Retail Condo","single use","Bellingham",0,"single",12,FALSE
"371","Ice Skating Rinks/Facilities","3430","Office Condo","single use","Harwich",0,"single",12,FALSE
"106","Accessory Land with Improvement","3030","Accessory Commercial Land","single use","Marion",0,"single",25,FALSE
"813","Public Non-Commercial Flying - areas for gliding or hand-gliding (Ch. 61B, not classified as Open Space)","319","Commercial","single use","Orange",0,"single",10,FALSE
"813","Public Non-Commercial Flying - areas for gliding or hand-gliding (Ch. 61B, not classified as Open Space)","344","Commercial","single use","Orange",0,"single",10,FALSE
"103","Mobile Home (includes mobile home park land)","3030","MOBILE HOME PARK","single use","Orange",0,"single",16,FALSE
"102","Residential Condominium","3440","Commercial Condo","single use","Orange",0,"single",16,FALSE
"102","Residential Condominium","343","Commercial Condominium","single use","Arlington",0,"single",22,FALSE
"102","Residential Condominium","345","Retail Condominium","single use","Arlington",0,"single",18,FALSE
"102","Residential Condominium","343","commercial condo","single use","Northborough",0,"single",16,FALSE
"102","Residential Condominium","327","Condo-Retail","single use","Danvers",0,"single",12,FALSE
"371","Ice Skating Rinks/Facilities","343","Condo-Office","single use","Danvers",0,"single",12,FALSE
"371","Ice Skating Rinks/Facilities","344","Condo-Office","single use","Danvers",0,"single",12,FALSE
"102","Residential Condominium","303","Commercial Condominium","single use","Natick",0,"single",22,FALSE
"371","Ice Skating Rinks/Facilities","343","Office Space","single use","Holliston",0,"single",12,FALSE
"371","Ice Skating Rinks/Facilities","343","Commercial, Office","single use","Westborough",0,"single",18,FALSE
"371","Ice Skating Rinks/Facilities","343","Office Condominium","single use","Reading",0,"single",18,FALSE
"102","Residential Condominium","344","Commercial Condominium","single use","Reading",0,"single",22,FALSE
"102","Residential Condominium","343","Commercial Condo","single use","Duxbury",0,"single",16,FALSE
